  YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
         KST  ID  16  m/s  WD   WS   TM    hPa    hPa      hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT                              TOT MID  MIN          TOP MID LOW                  GD     C     5    10    20    30 SEA    m         
202302271400 188  16  3.2  -9 -9.0   -9 1031.4 1033.9 -9  -9.0  13.2   2.4  48.0   7.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4316  1.0 -9.00 -9  24.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 189  20  2.0  -9 -9.0   -9 1027.7 1034.0 -9  -9.0  12.7   1.9  48.0   7.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  18.7 -99.0 -99.0 -99.0 -99.0   2  0.5  2  3  2
202302271400 192  16  3.1  -9 -9.0   -9 1029.2 1032.8 -9  -9.0  14.0  -7.4  22.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4464  1.0  2.82 -9  29.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 201  23  3.9  -9 -9.0   -9 1028.3 1034.3 -9  -9.0   7.7  -2.9  47.0   4.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2030  1.0 -9.00 -9  13.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 202  18  1.5  -9 -9.0   -9 1028.2 1034.0 -9  -9.0  10.2  -7.5  28.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2435  1.0 -9.00 -9  17.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 203  11  1.0  -9 -9.0   -9 1023.7 1033.5 -9  -9.0  11.2  -7.6  26.0   3.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3081  1.0 -9.00 -9  16.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 211  20  2.6  -9 -9.0   -9 1006.6 1030.9 -9  -9.0  12.5  -9.9  20.0   2.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  15.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 212  32  1.8  -9 -9.0   -9 1015.2 1032.2 -9  -9.0  12.1 -10.8  19.0   2.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4594  1.0 -9.00 -9  17.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 216  23  1.4  -9 -9.0   -9  945.2 1028.1 -9  -9.0  12.5 -17.2  11.0   1.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2000  1.0 -9.00 -9  13.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 217  18  2.6  -9 -9.0   -9  994.0 1030.6 -9  -9.0  13.4 -21.8   7.0   1.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1253  1.0 -9.00 -9  15.9   1.0  -0.8  -0.1  -0.2  -9 -9.0 -9  3 -9
202302271400 221  20  2.3  -9 -9.0   -9  999.4 1031.4 -9  -9.0  11.4  -9.0  23.0   3.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3389  1.0 -9.00 -9  19.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
